◇ injected env (2) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
[2026-07-22 11:46:12] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: custom_1784650298712 | Pts: 2 | Debt: 0 | ID: 0.33532878056822013 | Cancelled: false
[2026-07-22 11:46:12] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_1 | Pts: 1 | Debt: 0 | ID: 0.8770058264877588 | Cancelled: false
[2026-07-22 16:02:16] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: od_4 | Pts: 5 | Debt: 0 | ID: 0.1504675745839935 | Cancelled: false
[2026-07-22 23:59:59] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: daily_debt_settlement | Pts: 0 | Debt: 15 | ID: 0.09133384198371197 | Cancelled: false
[2026-07-23 06:50:08] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gm_1 | Pts: 15 | Debt: 0 | ID: 0.8383478449665801 | Cancelled: false
[2026-07-23 07:25:28] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: gm_1 | Pts: 20 | Debt: 0 | ID: 0.8394162239811163 | Cancelled: true
[2026-07-23 08:13:49] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: od_3 | Pts: 5 | Debt: 0 | ID: 0.17040540709437668 | Cancelled: true
[2026-07-23 08:49:44] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gm_4 | Pts: 5 | Debt: 0 | ID: 0.6540600328929874 | Cancelled: true
[2026-07-23 11:21:11] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: rec_5 | Pts: -1 | Debt: 0 | ID: 0.8029965130876843 | Cancelled: false
[2026-07-23 15:06:02] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: custom_1784650298712 | Pts: 2 | Debt: 0 | ID: 0.591124150949111 | Cancelled: false
[2026-07-23 16:04:46] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_3 | Pts: -1 | Debt: 0 | ID: 0.25225975672880874 | Cancelled: false
[2026-07-23 16:04:46] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_3 | Pts: -1 | Debt: 0 | ID: 0.9796621814285444 | Cancelled: false
[2026-07-23 16:04:47] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_3 | Pts: -1 | Debt: 0 | ID: 0.45601898156758547 | Cancelled: false
[2026-07-23 16:04:47] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_3 | Pts: -1 | Debt: 0 | ID: 0.4757373422518377 | Cancelled: false
[2026-07-23 16:05:02] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_4 | Pts: -1 | Debt: 0 | ID: 0.620027215597111 | Cancelled: false
[2026-07-23 16:05:03] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_5 | Pts: -1 | Debt: 0 | ID: 0.8181186923091174 | Cancelled: false
[2026-07-23 16:05:07] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_4 | Pts: -1 | Debt: 0 | ID: 0.4298040426433636 | Cancelled: false
[2026-07-23 16:05:18] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: od_2 | Pts: 3 | Debt: 0 | ID: 0.6116488868000357 | Cancelled: false
[2026-07-23 16:05:22] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_1 | Pts: 1 | Debt: 0 | ID: 0.8099657238784831 | Cancelled: false
[2026-07-23 18:05:59] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_6 | Pts: 0 | Debt: 10 | ID: 0.2784981998271736 | Cancelled: false
[2026-07-23 18:05:59] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: re_7 | Pts: 0 | Debt: 10 | ID: 0.6081301081889657 | Cancelled: false
[2026-07-23 18:14:56] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: custom_1784650298712 | Pts: 2 | Debt: 0 | ID: 0.1283603466261346 | Cancelled: false
[2026-07-23 21:13:44] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: ex_4 | Pts: -1 | Debt: 0 | ID: 0.7050036543383115 | Cancelled: false
[2026-07-23 21:13:44] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: ex_4 | Pts: -1 | Debt: 0 | ID: 0.5567020362897345 | Cancelled: false
[2026-07-23 21:13:49] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: rec_7 | Pts: -2 | Debt: 0 | ID: 0.16637407015336203 | Cancelled: false
[2026-07-23 21:13:51] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: rec_4 | Pts: -1 | Debt: 0 | ID: 0.8150500960790722 | Cancelled: false
[2026-07-23 21:13:57] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gn_2 | Pts: -1 | Debt: 0 | ID: 0.016708783244769876 | Cancelled: false
[2026-07-23 21:13:59] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: gn_3 | Pts: -1 | Debt: 0 | ID: 0.453091545653455 | Cancelled: false
[2026-07-23 21:30:16] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.9504854560753541 | Cancelled: false
[2026-07-23 21:30:17] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.415865872801244 | Cancelled: false
[2026-07-23 21:30:17] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.2742668403651769 | Cancelled: false
[2026-07-23 21:30:18] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.5914869848464943 | Cancelled: false
[2026-07-23 21:30:18] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.3339738280599933 | Cancelled: false
[2026-07-23 21:30:19] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.20274361433153554 | Cancelled: false
[2026-07-23 21:30:20] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.3874589553751948 | Cancelled: false
[2026-07-23 21:30:20] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.7648131172231635 | Cancelled: false
[2026-07-23 21:30:21] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: 0 | ID: 0.6067544480534646 | Cancelled: false
[2026-07-23 21:30:21] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_3 | Pts: -1 | Debt: -10 | ID: 0.2833127575182035 | Cancelled: false
[2026-07-23 21:30:23] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: ex_1 | Pts: -1 | Debt: 0 | ID: 0.5301160474494794 | Cancelled: false
[2026-07-23 21:44:05] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_2 | Pts: -1 | Debt: 0 | ID: 0.4524696399574656 | Cancelled: false
[2026-07-23 21:44:57] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: custom_1784712388826 | Pts: 2 | Debt: 0 | ID: 0.6413176410008299 | Cancelled: false
[2026-07-23 22:01:10] User: eece1aed-0205-41be-bf2d-7b4f1ff8f42e | Rule: rec_8 | Pts: -2 | Debt: 0 | ID: 0.7718479885146664 | Cancelled: false
[2026-07-23 23:59:59] User: dd7b667f-1456-4805-8d47-3f6df5619ff4 | Rule: daily_debt_settlement | Pts: 0 | Debt: 5 | ID: 0.04090808155506387 | Cancelled: false
